,Year,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
730,2020, Frankston,10822,7528.2
731,2020, Gannawarra,685,6553.6
732,2020, Glen Eira,6277,3988.1
733,2020, Glenelg,1084,5521.6
734,2020, Golden Plains,448,1848.3
735,2020, Greater Bendigo,8121,6768.1
736,2020, Greater Dandenong,15005,8827.4
737,2020, Greater Geelong,16605,6271.6
738,2020, Greater Shepparton,6036,9026.3
739,2020, Hepburn,563,3504.3
740,2020, Hindmarsh,313,5658.9
741,2020, Hobsons Bay,4497,4561.1
742,2020, Horsham,1484,7445.8
743,2020, Hume,16216,6717.0
744,2020, Indigo,446,2649.5
745,2020, Kingston,8640,5173.6
746,2020, Knox,8756,5298.0
747,2020, Latrobe,9646,12707.1
748,2020, Loddon,394,5260.0
749,2020, Macedon Ranges,1918,3758.0
750,2020, Manningham,3439,2672.7
751,2020, Mansfield,372,4002.8
752,2020, Maribyrnong,7342,7676.2
753,2020, Maroondah,5777,4826.4
754,2020, Melbourne,26850,14320.0
755,2020, Melton,10113,5880.0
756,2020, Mildura,4667,8332.8
757,2020, Mitchell,3227,6733.2
758,2020, Moira,1604,5345.0
759,2020, Monash,9916,4871.8
760,2020, Moonee Valley,6463,4894.6
761,2020, Moorabool,2050,5698.2
762,2020, Moreland,10829,5738.6
763,2020, Mornington Peninsula,8134,4808.9
764,2020, Mount Alexander,763,3830.9
765,2020, Moyne,535,3138.8
766,2020, Murrindindi,657,4460.5
767,2020, Nillumbik,1632,2504.1
768,2020, Northern Grampians,836,7380.1
769,2020, Port Phillip,10319,8765.6
770,2020, Pyrenees,371,4960.4
771,2020, Queenscliffe,100,3386.1
772,2020, South Gippsland,1260,4183.2
773,2020, Southern Grampians,833,5180.1
774,2020, Stonnington,9077,7633.5
775,2020, Strathbogie,483,4439.2
776,2020, Surf Coast,1200,3500.1
777,2020, Swan Hill,1819,8836.4
778,2020, Towong,158,2611.4
779,2020, Wangaratta,1652,5626.9
780,2020, Warrnambool,2323,6565.1
781,2020, Wellington,3325,7456.3
782,2020, West Wimmera,132,3473.3
783,2020, Whitehorse,7223,4015.8
784,2020, Whittlesea,12155,5129.4
785,2020, Wodonga,2588,6026.0
786,2020, Wyndham,13246,4672.8
787,2020, Yarra,11403,11055.2
788,2020, Yarra Ranges,6370,3971.2
789,2020, Yarriambiack,365,5539.7
